address,category,id,lat,lng,location,name,originalId,polarity,subCategory,details,reviews
Queen Victoria St,poi,36266,51.510692269339,-0.10355472564697,London,London Blackfriars Railway Station (BFR),4ace1db2f964a5207fce20e3,0,Train Station,http://tour-pedia.org/api/getPlaceDetails?id=36266,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36266
Clapham Rd,poi,36274,51.472174741991,-0.12256622314453,London,Stockwell London Underground Station,4ace28a3f964a520c7ce20e3,0,Subway,http://tour-pedia.org/api/getPlaceDetails?id=36274,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36274
Gordon House Rd.,poi,36281,51.555318096636,-0.15119075775146,London,Gospel Oak London Overground Station,4ace2ec2f964a520e2ce20e3,0,Train Station,http://tour-pedia.org/api/getPlaceDetails?id=36281,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36281
Oxford St,poi,36287,51.515200886601,-0.14181107282639,London,Oxford Circus London Underground Station,4ace3173f964a520f9ce20e3,0,Subway,http://tour-pedia.org/api/getPlaceDetails?id=36287,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36287
North End Rd,poi,36304,51.490582511143,-0.20644962787628,London,West Kensington London Underground Station,4ace4b76f964a520b3cf20e3,0,Subway,http://tour-pedia.org/api/getPlaceDetails?id=36304,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36304
Ditchburn St.,poi,36308,51.507946150879,-0.0071427226066589,London,Blackwall DLR Station,4ace5469f964a520e5cf20e3,0,Light Rail,http://tour-pedia.org/api/getPlaceDetails?id=36308,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36308
Gale St.,poi,36326,51.540196334001,0.12638568878174,London,Becontree London Underground Station,4acee899f964a52009d220e3,0,Subway,http://tour-pedia.org/api/getPlaceDetails?id=36326,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36326
Woodgrange Rd.,poi,36332,51.549317140072,0.023440183972691,London,Forest Gate Railway Station (FOG),4acef3a1f964a5201dd220e3,0,Train Station,http://tour-pedia.org/api/getPlaceDetails?id=36332,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36332
Mile End Rd.,poi,36336,51.525119608929,-0.033431053161621,London,Mile End London Underground Station,4acef7cbf964a52026d220e3,0,Subway,http://tour-pedia.org/api/getPlaceDetails?id=36336,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36336
Jebb Avenue,poi,36338,51.451448771095,-0.1238809849885,London,HMP Brixton,4acefbcef964a52030d220e3,0,Government Building,http://tour-pedia.org/api/getPlaceDetails?id=36338,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36338
Du Cane Rd,poi,36339,51.517055282728,-0.2397894859314,London,HMP Wormwood Scrubs,4acefc72f964a52033d220e3,0,Government Building,http://tour-pedia.org/api/getPlaceDetails?id=36339,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36339
Loampit Vale,poi,36351,51.465451214617,-0.013818740844727,London,Lewisham Railway Station (LEW),4acf1c94f964a52071d220e3,0,Train Station,http://tour-pedia.org/api/getPlaceDetails?id=36351,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36351
90 York Way,poi,36354,51.534697478484,-0.12194395065308,London,The Guardian,4acf22e9f964a5207fd220e3,0,Office,http://tour-pedia.org/api/getPlaceDetails?id=36354,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36354
Greencoat House,poi,36358,51.495951,-0.13698000993423,London,VCCP,4acf2cebf964a52096d220e3,0,Office,http://tour-pedia.org/api/getPlaceDetails?id=36358,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36358
Victoria Embankment,poi,36375,51.50126963825,-0.12498021125793,London,Portcullis House,4acf6668f964a5206fd320e3,0,Government Building,http://tour-pedia.org/api/getPlaceDetails?id=36375,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36375
Queensway,poi,36377,51.512259736307,-0.18776804208755,London,Bayswater London Underground Station,4acf6ff6f964a520a6d320e3,0,Subway,http://tour-pedia.org/api/getPlaceDetails?id=36377,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36377
Finchley Rd.,poi,36388,51.5470647992,-0.18034636974335,London,Finchley Road London Underground Station,4acf7f88f964a5201ed420e3,0,Subway,http://tour-pedia.org/api/getPlaceDetails?id=36388,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36388
Hanger Ln,poi,36393,51.530292576194,-0.29358386993408,London,Hanger Lane London Underground Station,4acf8827f964a52052d420e3,0,Subway,http://tour-pedia.org/api/getPlaceDetails?id=36393,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36393
ashmount road,poi,36398,51.572407,-0.132747,London,Ashmount Road,4acf8f67f964a5208fd420e3,0,Road,http://tour-pedia.org/api/getPlaceDetails?id=36398,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36398
Villiers St,poi,36420,51.50723664048,-0.12233823537827,London,Embankment London Underground Station,4ad03fa4f964a520c4d720e3,0,Subway,http://tour-pedia.org/api/getPlaceDetails?id=36420,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36420
